======================================================================
ASPEN PLUS DEEP BLOCK INSPECTION
======================================================================
Loading: C:\Program Files\AspenTech\Aspen Plus V14.0\GUI\Examples\Hydrogen\Alkaline electrolysis\Industrial Scale Alkaline Electrolyzer\Industrial Scale Alkaline Electrolyzer.bkp
Inspecting Block: B1
  B1 | Path: \B1 | Value: V-DRUM1
      SSXML | Path: \B1\Input\SSXML | Value: <tffString><GroupName>Boundary</GroupName><TemplateName>Full</TemplateName><IsTemplateGroupDefaulted>false</IsTemplateGroupDefaulted><IsTemplateGlobalDefaulted>true</IsTemplateGlobalDefaulted><IncludesChildHierarchyStreams>false</IncludesChildHierarchyStreams><CommonShellSettings>&lt;srcSettings StreamIds="S6,O2-PROD,S5" TemplateName="Full"&gt;&lt;TFFTable&gt;&lt;GeneralOptions&gt;Description,SourceAndDestination,StreamClass,MaximumErrorTolerance,CostFlow,PhaseLabel,ComponentAttributes,ParticleSizeDistributions,Temperature,Pressure,MolarVaporFraction,MolarLiquidFraction,MolarSolidFraction,MolarEnthalpy,MolarEntropy,MolarDensity,MassVaporFraction,MassLiquidFraction,MassSolidFraction,MassEnthalpy,MassEntropy,MassDensity,EnthalpyFlow,AverageMolecularWeight,BatchProperties&lt;/GeneralOptions&gt;&lt;ScopeOptions&gt;PhasesForMixedSubstream,TotalStream,Substreams,MoleFlows,MassFlows,MoleFractions,MassFractions,VolumeFlows&lt;/ScopeOptions&gt;&lt;Properties&gt;&lt;Property Type="StateConditionProperty" EngineName="TEMP" /&gt;&lt;Property Type="StateConditionProperty" EngineName="PRES" /&gt;&lt;Property Type="StateConditionProperty" EngineName="VFRAC" /&gt;&lt;Property Type="StateConditionProperty" EngineName="LFRAC" /&gt;&lt;Property Type="StateConditionProperty" EngineName="SFRAC" /&gt;&lt;Property Type="StateConditionProperty" EngineName="MASSVFRA" /&gt;&lt;Property Type="StateConditionProperty" EngineName="MASSLFRA" /&gt;&lt;Property Type="StateConditionProperty" EngineName="MASSSFRA" /&gt;&lt;Property Type="StateConditionProperty" EngineName="HMX" /&gt;&lt;Property Type="StateConditionProperty" EngineName="MASSHMX" /&gt;&lt;Property Type="StateConditionProperty" EngineName="SMX" /&gt;&lt;Property Type="StateConditionProperty" EngineName="MASSSMX" /&gt;&lt;Property Type="StateConditionProperty" EngineName="RHOMX" /&gt;&lt;Property Type="StateConditionProperty" EngineName="MASSRHOM" /&gt;&lt;Property Type="StateConditionProperty" EngineName="HFLMX" /&gt;&lt;Property Type="StateConditionProperty" EngineName="MWMX" /&gt;&lt;Property Type="StateConditionProperty" EngineName="MOLEFLOW" /&gt;&lt;Property Type="StateConditionProperty" EngineName="MOLEFRAC" /&gt;&lt;Property Type="StateConditionProperty" EngineName="MASSFLOW" /&gt;&lt;Property Type="StateConditionProperty" EngineName="MASSFRAC" /&gt;&lt;Property Type="StateConditionProperty" EngineName="VOLFLMX" /&gt;&lt;Property Type="BatchProperty" EngineName="cmole_cycle" /&gt;&lt;Property Type="BatchProperty" EngineName="cmole_time" /&gt;&lt;Property Type="BatchProperty" EngineName="cmass_cycle" /&gt;&lt;Property Type="BatchProperty" EngineName="cmass_time" /&gt;&lt;Property Type="BatchProperty" EngineName="vol_cycle" /&gt;&lt;Property Type="BatchProperty" EngineName="vol_time" /&gt;&lt;Property Type="BatchProperty" EngineName="enth_cycle" /&gt;&lt;Property Type="BatchProperty" EngineName="enth_time" /&gt;&lt;Property Type="BatchProperty" EngineName="cycle_time" /&gt;&lt;Property Type="BatchProperty" EngineName="oper_time" /&gt;&lt;Property Type="BatchProperty" EngineName="ntrain" /&gt;&lt;/Properties&gt;&lt;/TFFTable&gt;&lt;/srcSettings&gt;</CommonShellSettings></tffString>
      STREAM_LEVEL | Path: \B1\Input\STREAM_LEVEL | Value: 4
      SUBBYPASS | Path: \B1\Input\SUBBYPASS | Value: None
      SUBSATT | Path: \B1\Input\SUBSATT | Value: None
      SUB_D50 | Path: \B1\Input\SUB_D50 | Value: None
      SUB_D63 | Path: \B1\Input\SUB_D63 | Value: None
      SUB_DIAM | Path: \B1\Input\SUB_DIAM | Value: None
      SUB_GGSN | Path: \B1\Input\SUB_GGSN | Value: None
      SUB_GMDEV | Path: \B1\Input\SUB_GMDEV | Value: None
      SUB_RRSBN | Path: \B1\Input\SUB_RRSBN | Value: None
      SUB_STDDEV | Path: \B1\Input\SUB_STDDEV | Value: None
      SUB_STEEPNES | Path: \B1\Input\SUB_STEEPNES | Value: None
      S_CUMFRAC | Path: \B1\Input\S_CUMFRAC | Value: None
      S_DISTFUN | Path: \B1\Input\S_DISTFUN | Value: None
      S_FRACTION | Path: \B1\Input\S_FRACTION | Value: None
      S_MESHOPT | Path: \B1\Input\S_MESHOPT | Value: None
      S_OPT | Path: \B1\Input\S_OPT | Value: None
      TAPPR | Path: \B1\Input\TAPPR | Value: 10.0
      TEMP | Path: \B1\Input\TEMP | Value: 313.15
      TERM_LEVEL | Path: \B1\Input\TERM_LEVEL | Value: 4
      THRESHOLD | Path: \B1\Input\THRESHOLD | Value: None
      THRU | Path: \B1\Input\THRU | Value: None
      TMED | Path: \B1\Input\TMED | Value: None
      TOL | Path: \B1\Input\TOL | Value: 1e-06
      TOTBAL | Path: \B1\Input\TOTBAL | Value: TOTBAL
      TRUE_COMPS | Path: \B1\Input\TRUE_COMPS | Value: NO
      T_EST | Path: \B1\Input\T_EST | Value: 343.15
      UOM | Path: \B1\Input\UOM | Value: None
      UPPER | Path: \B1\Input\UPPER | Value: None
      USER_METHOD | Path: \B1\Input\USER_METHOD | Value: None
      USER_OVLOWER | Path: \B1\Input\USER_OVLOWER | Value: None
      USER_OVUPPER | Path: \B1\Input\USER_OVUPPER | Value: None
      USER_OVVALUE | Path: \B1\Input\USER_OVVALUE | Value: None
      USER_SLOWER | Path: \B1\Input\USER_SLOWER | Value: None
      USER_SUPPER | Path: \B1\Input\USER_SUPPER | Value: None
